Date,Impressions
2026-04-04,0
2026-04-05,1203
2026-04-06,2487
2026-04-07,481
2026-04-08,1349
2026-04-09,1181
2026-04-10,1331
2026-04-11,1822
2026-04-12,3249
2026-04-13,2200
2026-04-14,1892
2026-04-15,1404
2026-04-16,533
2026-04-17,400
2026-04-18,296
2026-04-19,1335
2026-04-20,1632
2026-04-21,729
2026-04-22,5015
2026-04-23,2708
2026-04-24,6030
2026-04-25,7628
2026-04-26,9548
2026-04-27,7915
2026-04-28,11191
2026-04-29,18575
2026-04-30,17606
2026-05-01,20167
2026-05-02,37378
2026-05-03,53637
2026-05-04,164605
2026-05-05,424733
2026-05-06,884177
2026-05-07,943832
2026-05-08,874369
2026-05-09,856256
2026-05-10,886636
2026-05-11,1348997
2026-05-12,1407277
2026-05-13,1185317
2026-05-14,993254
2026-05-15,957230
2026-05-16,927590
2026-05-17,1041162
2026-05-18,1375833
2026-05-19,1537312
2026-05-20,1431557
2026-05-21,1413401
2026-05-22,1307337
2026-05-23,1130912
2026-05-24,1161619
2026-05-25,1349571
2026-05-26,1511404
2026-05-27,1279973
2026-05-28,1160034
2026-05-29,1179049
